,Comp1,Comp2,Word,Topic
591,11.91058507,-8.396630645,help,Other
592,13.117729,-10.53008813,hell,religion
593,1.036076309,7.48800615,yo,Other
594,1.602391216,6.342141055,ya,Other
595,5.624516938,-3.20378253,reason,Other
596,0.2927759084,6.79613279,damn,men
597,6.233772681,-12.70219309,look,Other
598,7.877110185,11.18935003,ready,Other
599,0.5279695718,-19.17722488,game,Other
600,-23.10188179,-3.618968763,step,Other
601,-14.09867181,-8.380191487,shine,drugs
602,5.441545872,-20.89713211,win,Other
603,-11.25124254,11.2262847,wit,Other
604,15.08494538,14.56741357,buy,money
605,-13.61140621,7.498581495,grab,Other
606,-1.580088849,-25.05922894,quit,Other
607,9.363842504,-1.913442418,well,Other
608,8.747047784,-24.15804891,livin,Other
609,19.28258654,9.202291827,gonna,Other
610,24.03893122,3.838394692,couldnt,Other
611,-6.549968114,-2.636138118,eat,Other
612,13.08008866,4.786993262,talkin,Other
613,-12.34069669,14.40513188,100,money
614,-8.479924873,-0.813576678,bone,Other
615,-8.849706504,11.47455537,new_york,neighborhood
616,-6.970494312,7.118185617,street,neighborhood
617,2.898915264,-9.706928984,mind,Other
618,-7.177728252,-6.739823016,mine,women
619,20.62582945,-4.857460328,seen,Other
620,7.013703047,0.9994599817,seem,Other
621,-15.12109106,19.66740522,m,drugs
622,-4.916242489,8.044092601,dog,men
623,10.7929965,3.295198269,talk_about,Other
624,-2.409315904,-10.28019286,against,Other
625,-17.92896579,0.175877615,make,Other
626,12.98102489,-14.98837383,kid,family
627,21.56534307,6.502015123,must,Other
628,6.327703105,28.24157318,shoot,violence
629,-4.921969084,21.21553074,mo,money
630,0.7935116243,27.39683082,mi,Other
631,-0.610924909,10.31116607,aye,men
632,7.256796457,-7.699881744,dude,men
633,-15.04678148,8.45871256,mac,drugs
634,-15.32513511,-15.646431,neck,clothes
635,12.02580794,3.170216333,talk,Other
636,-26.22163426,1.777610955,rock,drugs
637,-5.582583094,-3.934994088,thing,Other
638,10.05843013,1.916803551,think,Other
639,-5.537809177,25.08651665,cheese,money
640,-17.96769704,-1.34217688,crib,cars
641,-9.715878311,16.25858117,10,money
642,-18.18227403,-9.562407635,shot,sex
643,10.67557254,0.3801318629,show,Other
644,10.10329934,-5.197790362,shoe,cars
645,-19.36039384,-5.22546702,corner,neighborhood
646,-13.7837378,-0.3958192115,dick,sex
647,-6.972210665,23.59746314,money,money
648,-25.65514483,11.30817478,pill,drugs
649,1.13603091,-4.303518904,either,Other
650,-8.86184691,-15.45225662,holdin,Other
651,-6.32539662,-0.388227908,deep,Other
652,2.654652546,10.66171184,alright,Other
653,-7.22801104,19.64286003,dollar,money
654,6.028201264,10.49013588,free,Other
655,1.915329898,-13.31544284,eye,drugs
656,-10.61678421,14.70717106,two,Other
657,-2.525205421,12.14332161,hard,Other
658,-4.555881909,6.329848801,motherfucker,curses
659,17.99347981,6.129145295,dont,Other
660,15.65844113,-0.6620097394,done,Other
661,-9.900779938,-8.997714307,park,cars
